feature,lag,corr
Total_Evaporation,0,-0.0009078407732186155
Total_Evaporation,1,0.003660476082339985
Total_Evaporation,2,0.010982412235897228
Total_Evaporation,3,0.013683836826698745
Total_Evaporation,4,0.007347813010218282
Total_Evaporation,5,-0.0069657765108454076
Total_Evaporation,6,-0.017305604472419554
Total_Rainfall,0,0.04474463978066935
Total_Rainfall,1,0.018047981234674975
Total_Rainfall,2,-0.012220104739144024
Total_Rainfall,3,-0.031063298342548885
Total_Rainfall,4,-0.039293315077453754
Total_Rainfall,5,-0.04005066482968719
Total_Rainfall,6,-0.026198989481126783
Max_Daily_Rainfall,0,0.028038736936207797
Max_Daily_Rainfall,1,0.003178960886462297
Max_Daily_Rainfall,2,-0.0213446341704304
Max_Daily_Rainfall,3,-0.03571778301760164
Max_Daily_Rainfall,4,-0.043425779957565316
Max_Daily_Rainfall,5,-0.04537401701594716
Max_Daily_Rainfall,6,-0.03256904539200375
n_raining_days,0,0.07035012583779555
n_raining_days,1,0.05481479087677374
n_raining_days,2,0.03457218304267357
n_raining_days,3,0.016880859378534566
n_raining_days,4,0.008581191553376933
n_raining_days,5,0.003970782377316638
n_raining_days,6,0.014861212538169948
Average_temperature,0,-0.08797341378836805
Average_temperature,1,-0.10360080014396517
Average_temperature,2,-0.13094090279610193
Average_temperature,3,-0.16013178422039276
Average_temperature,4,-0.18110525806420485
Average_temperature,5,-0.19599470061370747
Average_temperature,6,-0.1944686187724665
Max_Average_Temperature,0,-0.04450277913090087
Max_Average_Temperature,1,-0.05754078742566304
Max_Average_Temperature,2,-0.08265993426468254
Max_Average_Temperature,3,-0.11091124722199866
Max_Average_Temperature,4,-0.13172653388172315
Max_Average_Temperature,5,-0.14771511282741526
Max_Average_Temperature,6,-0.14845718393988877
Min_Average_Temperature,0,-0.10841030434950712
Min_Average_Temperature,1,-0.12719692165101695
Min_Average_Temperature,2,-0.15586939145314047
Min_Average_Temperature,3,-0.18581066012800282
Min_Average_Temperature,4,-0.20675685893194154
Min_Average_Temperature,5,-0.22015773648958456
Min_Average_Temperature,6,-0.21670743592370836
Max_Absolute_Temperature,0,-0.043777166201999056
Max_Absolute_Temperature,1,-0.04705897385170795
Max_Absolute_Temperature,2,-0.06787089349410698
Max_Absolute_Temperature,3,-0.09250127595723444
Max_Absolute_Temperature,4,-0.11608809801641257
Max_Absolute_Temperature,5,-0.13630658446066118
Max_Absolute_Temperature,6,-0.14030873314387973
Min_Absolute_Temperature,0,-0.08457327210100722
Min_Absolute_Temperature,1,-0.10623571034957087
Min_Absolute_Temperature,2,-0.13584285805725324
Min_Absolute_Temperature,3,-0.1646367934565736
Min_Absolute_Temperature,4,-0.18309516560201655
Min_Absolute_Temperature,5,-0.19331504061934418
Min_Absolute_Temperature,6,-0.18961704516283906
Average_Humidity,0,0.037652678863588813
Average_Humidity,1,0.02142626264062606
Average_Humidity,2,0.005486802040925087
Average_Humidity,3,-0.002300540756528011
Average_Humidity,4,0.001885594400249501
Average_Humidity,5,0.01192062279382532
Average_Humidity,6,0.028907195343414873
Min_Humidity,0,-0.046326168409909434
Min_Humidity,1,-0.06748013618443717
Min_Humidity,2,-0.07913553396979703
Min_Humidity,3,-0.09191142000990052
Min_Humidity,4,-0.09123916184061641
Min_Humidity,5,-0.0921719783811081
Min_Humidity,6,-0.08175152278551093
n_hours_sunshine,0,-0.0009272976288609496
n_hours_sunshine,1,0.004115925863210683
n_hours_sunshine,2,-0.0013432321661832525
n_hours_sunshine,3,-0.009518353632950225
n_hours_sunshine,4,-0.016687237242760843
n_hours_sunshine,5,-0.025428325365000913
n_hours_sunshine,6,-0.03303706233527444
