d1,d2,lag,corr
Influenza_rates,Dengue_fever_rates,0,-0.05784083706130557
Influenza_rates,Dengue_fever_rates,1,-0.0710130084021018
Influenza_rates,Dengue_fever_rates,2,-0.0754680706402607
Influenza_rates,Dengue_fever_rates,3,-0.07117036197299816
Influenza_rates,Dengue_fever_rates,4,-0.0798213283722708
Influenza_rates,Dengue_fever_rates,5,-0.0835698253270169
Influenza_rates,Dengue_fever_rates,6,-0.08984269040497554
Influenza_rates,Diarrhoea_rates,0,0.6306826120805725
Influenza_rates,Diarrhoea_rates,1,0.5381152436157505
Influenza_rates,Diarrhoea_rates,2,0.5383949102168205
Influenza_rates,Diarrhoea_rates,3,0.5442109970692734
Influenza_rates,Diarrhoea_rates,4,0.5358953277024843
Influenza_rates,Diarrhoea_rates,5,0.5268433253401508
Influenza_rates,Diarrhoea_rates,6,0.5150283833166859
Dengue_fever_rates,Influenza_rates,0,-0.057840837061305564
Dengue_fever_rates,Influenza_rates,1,-0.07428817377098118
Dengue_fever_rates,Influenza_rates,2,-0.08670219149379962
Dengue_fever_rates,Influenza_rates,3,-0.0897227505670894
Dengue_fever_rates,Influenza_rates,4,-0.09286487686403898
Dengue_fever_rates,Influenza_rates,5,-0.09834858276868705
Dengue_fever_rates,Influenza_rates,6,-0.10325147826794535
Dengue_fever_rates,Diarrhoea_rates,0,-0.09327497249943524
Dengue_fever_rates,Diarrhoea_rates,1,-0.08635545864985102
Dengue_fever_rates,Diarrhoea_rates,2,-0.07735500166595877
Dengue_fever_rates,Diarrhoea_rates,3,-0.06984029739289385
Dengue_fever_rates,Diarrhoea_rates,4,-0.06517053863887412
Dengue_fever_rates,Diarrhoea_rates,5,-0.06391370401827279
Dengue_fever_rates,Diarrhoea_rates,6,-0.05925476224402574
Diarrhoea_rates,Influenza_rates,0,0.6306826120805725
Diarrhoea_rates,Influenza_rates,1,0.5190712795529857
Diarrhoea_rates,Influenza_rates,2,0.5108707807839377
Diarrhoea_rates,Influenza_rates,3,0.5094764075785027
Diarrhoea_rates,Influenza_rates,4,0.502555528431
Diarrhoea_rates,Influenza_rates,5,0.5049101176592135
Diarrhoea_rates,Influenza_rates,6,0.5164735683337247
Diarrhoea_rates,Dengue_fever_rates,0,-0.09327497249943524
Diarrhoea_rates,Dengue_fever_rates,1,-0.0923214027487262
Diarrhoea_rates,Dengue_fever_rates,2,-0.0890565514376629
Diarrhoea_rates,Dengue_fever_rates,3,-0.07043400135426543
Diarrhoea_rates,Dengue_fever_rates,4,-0.07121670268250703
Diarrhoea_rates,Dengue_fever_rates,5,-0.05891928539745
Diarrhoea_rates,Dengue_fever_rates,6,-0.04806826465082111
